,country,current_role,yearly_compensation,programming_languages,ides,visualization,activities,gender,primary_tool,ages
21236,United States of America,Data Analyst,"100,000-124,999","Python, R, SQL, Javascript","RStudio ,Visual Studio Code (VSCode) , Notepad++","Plotly / Plotly Express ,Shiny ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models",Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
21243,Kenya,Data Analyst,"7,500-9,999",unknown,unknown,unknown,Analyze and understand data to influence product or business decisions,Man,"Advanced statistical software (SPSS, SAS, etc.)",mediana
21251,Nigeria,Data Analyst,"40,000-49,999","Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ,Bokeh ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",joven
21252,India,Data Analyst,0-999,"Python, R, C++","MATLAB ,Jupyter Notebook"," Matplotlib ,Seaborn ",None of these activities are an important part of my role at work,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
21255,United Kingdom of Great Britain and Northern Ireland,Data Analyst,"40,000-49,999","Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",Man,unknown,joven
21273,South Korea,Data Analyst,"90,000-99,999","Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas",Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
21306,India,Data Analyst,"40,000-49,999", SQL, Notepad++, None,Analyze and understand data to influence product or business decisions,Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",mediana
21329,Other,Data Analyst,"60,000-69,999","Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ","Ggplot / ggplot2 ,D3 js ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
21362,India,Data Analyst,0-999,Python,Jupyter Notebook," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
21365,Malaysia,Data Analyst,"7,500-9,999",unknown,unknown,unknown,"Analyze and understand data to influence product or business decisions, Do research that advances the state of the art of machine learning",Man,unknown,mediana
21375,Bangladesh,Data Analyst,0-999,"Python, R, SQL","RStudio ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows, Do research that advances the state of the art of machine learning",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",joven
21386,Philippines,Data Analyst,"10,000-14,999", Other, Other, None,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Woman,unknown,joven
21395,India,Data Analyst,"7,500-9,999",Python," Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",joven
21400,Peru,Data Analyst,0-999,"Python, R, Other","RStudio , Spyder", None,Analyze and understand data to influence product or business decisions,Man,"Advanced statistical software (SPSS, SAS, etc.)",joven
21410,Philippines,Data Analyst,"50,000-59,999","Python, R, SQL","RStudio ,Visual Studio Code (VSCode) ,Jupyter Notebook","Seaborn ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions,Woman,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",mediana
21428,India,Data Analyst,"10,000-14,999","Python, R","RStudio ,Visual Studio , Spyder,Jupyter Notebook",Ggplot / ggplot2 ,"Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
21431,United States of America,Data Analyst,"90,000-99,999"," R, SQL",RStudio ,"Ggplot / ggplot2 ,Leaflet / Folium ",Analyze and understand data to influence product or business decisions,Man,unknown,mediana
21442,India,Data Analyst,0-999,"Python, SQL, Java","PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions,Woman,unknown,joven
21449,Turkey,Data Analyst,"10,000-14,999","Python, R, Java","Jupyter (JupyterLab, Jupyter Notebooks, etc) , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ,Shiny ",Analyze and understand data to influence product or business decisions,Man,"Advanced statistical software (SPSS, SAS, etc.)",mediana
21453,India,Data Analyst,unknown,"Python, R, SQL, C, C++","Visual Studio ,Jupyter Notebook",unknown,unknown,Man,unknown,joven
21500,Nigeria,Data Analyst,unknown,"Python, R, SQL, C, C++, Javascript","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,D3 js ",Analyze and understand data to influence product or business decisions,Man,unknown,joven
21513,Nigeria,Data Analyst,"1,000-1,999","Python, SQL","Visual Studio , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",joven
21516,United States of America,Data Analyst,"60,000-69,999","Python, R, Bash","RStudio ,PyCharm , Vim / Emacs,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas",Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
21517,Taiwan,Data Analyst,"15,000-19,999","Python, SQL"," Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ",None of these activities are an important part of my role at work,Man,"Local development environments (RStudio, JupyterLab, etc.)",joven
21555,Spain,Data Analyst,"40,000-49,999","Python, R, SQL, Bash, Other","RStudio ,Jupyter Notebook","Seaborn ,Ggplot / ggplot2 ,Bokeh ,Leaflet / Folium ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",mediana
21564,Taiwan,Data Analyst,"20,000-24,999","Python, SQL","Visual Studio Code (VSCode) , Spyder,Jupyter Notebook", Matplotlib ,Analyze and understand data to influence product or business decisions,Woman,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",joven
21581,United States of America,Data Analyst,"60,000-69,999","Python, R","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio , Notepad++"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ,Leaflet / Folium ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
21585,Bangladesh,Data Analyst,0-999,"Python, R","RStudio ,Jupyter Notebook", Matplotlib ,Analyze and understand data to influence product or business decisions,Man,unknown,joven
21647,India,Data Analyst,"5,000-7,499","Python, MATLAB","Jupyter (JupyterLab, Jupyter Notebooks, etc) ", Matplotlib ,Do research that advances the state of the art of machine learning,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
21651,Kazakhstan,Data Analyst,"1,000-1,999","Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,Other,joven
21653,United States of America,Data Analyst,"80,000-89,999"," R, SQL",RStudio ,"Ggplot / ggplot2 ,Shiny ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mayor
21665,Russia,Data Analyst,"1,000-1,999","Python, SQL, C++, MATLAB","Visual Studio ,PyCharm ,MATLAB ,Jupyter Notebook", Matplotlib ,"Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
21674,Turkey,Data Analyst,0-999,"Python, Java","PyCharm , Spyder,Jupyter Notebook", Matplotlib ,Other,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
21685,Pakistan,Data Analyst,0-999,Python,"PyCharm , Spyder, Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,D3 js ",Analyze and understand data to influence product or business decisions,Man,unknown,mediana
21688,United States of America,Data Analyst,"70,000-79,999","Python, SQL, MATLAB, Other","PyCharm ,MATLAB ,Jupyter Notebook"," Matplotlib , Other","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
21704,United States of America,Data Analyst,"70,000-79,999"," SQL, C++"," Notepad++, Other", None,Analyze and understand data to influence product or business decisions,Man,unknown,joven
21732,China,Data Analyst,"1,000-1,999","Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) , Notepad++, Vim / Emacs"," Matplotlib ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
21745,India,Data Analyst,0-999,"Python, SQL","Visual Studio ,Jupyter Notebook", Matplotlib ,Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
21752,India,Data Analyst,"10,000-14,999"," SQL, Other","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Other",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",joven
21764,Other,Data Analyst,"20,000-24,999","Python, R",Visual Studio , Other,Other,Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
21799,India,Data Analyst,unknown,"Python, Java","PyCharm , Sublime Text,Jupyter Notebook"," Matplotlib ,Plotly / Plotly Express ,Ggplot / ggplot2 ",unknown,Woman,unknown,joven
21814,Singapore,Data Analyst,"50,000-59,999","Python, Other"," Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
21851,India,Data Analyst,0-999,Python,PyCharm , None,Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
21866,France,Data Analyst,0-999,"Python, C",Jupyter Notebook," Matplotlib ,Seaborn ",None of these activities are an important part of my role at work,Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",joven
21874,Poland,Data Analyst,"1,000-1,999","Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,PyCharm , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ","Analyze and understand data to influence product or business decisions, Do research that advances the state of the art of machine learning",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",joven
21885,United States of America,Data Analyst,"100,000-124,999", SQL,"Visual Studio ,Visual Studio Code (VSCode) , Notepad++", None,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mayor
21894,Germany,Data Analyst,"60,000-69,999","Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,PyCharm , Sublime Text"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,D3 js ,Bokeh ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
21919,Russia,Data Analyst,unknown,"Python, SQL","Visual Studio Code (VSCode) , Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ",unknown,Woman,unknown,joven
21923,Japan,Data Analyst,"80,000-89,999","Python, R, Other","RStudio , Vim / Emacs,Jupyter Notebook", Matplotlib ,"Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
21943,India,Data Analyst,unknown," SQL, Other", None, None,unknown,Man,unknown,mediana
21947,Brazil,Data Analyst,0-999," R, SQL",Visual Studio Code (VSCode) ," Matplotlib ,Ggplot / ggplot2 ,Geoplotlib ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",joven
21951,Egypt,Data Analyst,0-999,Python,"Visual Studio Code (VSCode) ,Jupyter Notebook", Matplotlib ,Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",joven
21969,Iraq,Data Analyst,0-999,"Python, R, SQL, C++, MATLAB",Jupyter Notebook," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,unknown,joven
21983,South Korea,Data Analyst,"7,500-9,999","Python, R, MATLAB",MATLAB , None,None of these activities are an important part of my role at work,Woman,"Advanced statistical software (SPSS, SAS, etc.)",joven
22000,China,Data Analyst,"20,000-24,999","Python, SQL, Java, Javascript, Other","Visual Studio Code (VSCode) , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ","Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Local development environments (RStudio, JupyterLab, etc.)",joven
22015,Indonesia,Data Analyst,"5,000-7,499",unknown,unknown,unknown,Analyze and understand data to influence product or business decisions,Man,unknown,joven
22016,Russia,Data Analyst,"30,000-39,999","Python, SQL, Bash","PyCharm , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas",Man,unknown,joven
22030,Sri Lanka,Data Analyst,0-999,"Python, SQL", Notepad++, None,None of these activities are an important part of my role at work,Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",joven
22032,Kenya,Data Analyst,0-999,Python,"RStudio ,PyCharm "," Matplotlib ,Seaborn ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions,Man,unknown,joven
22038,United States of America,Data Analyst,"4,000-4,999","Python, R, SQL","RStudio ,PyCharm , Notepad++",Ggplot / ggplot2 ,None of these activities are an important part of my role at work,Man,"Advanced statistical software (SPSS, SAS, etc.)",mayor
22040,China,Data Analyst,0-999,"Python, C, Java","MATLAB ,Jupyter Notebook", Matplotlib ,Other,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
22046,United States of America,Data Analyst,"60,000-69,999","Python, R, SQL",RStudio ,"Ggplot / ggplot2 ,Shiny ","Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,unknown,mediana
22069,United States of America,Data Analyst,0-999,unknown,unknown,unknown,"Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
22089,Australia,Data Analyst,"70,000-79,999","Python, SQL, Java",Visual Studio ," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Geoplotlib ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
22111,India,Data Analyst,unknown,Python,"PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ",unknown,Man,unknown,joven
22124,Mexico,Data Analyst,0-999," R, SQL",RStudio ,"Plotly / Plotly Express ,Ggplot / ggplot2 ,Leaflet / Folium ","Analyze and understand data to influence product or business decisions, Build and/or run a machine learning service that operationally improves my product or workflows",Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
22131,India,Data Analyst,"25,000-29,999",unknown,unknown,unknown,None of these activities are an important part of my role at work,Man,unknown,mediana
22133,South Korea,Data Analyst,0-999,"Python, Java, MATLAB","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,PyCharm "," Matplotlib ,D3 js ","Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Woman,"Local development environments (RStudio, JupyterLab, etc.)",joven
22154,United States of America,Data Analyst,unknown, None, None, None,unknown,Prefer not to say,unknown,mediana
22169,Egypt,Data Analyst,unknown,"Python, R, SQL, C++, Java, Javascript, MATLAB, Other","RStudio ,Visual Studio Code (VSCode) ,PyCharm , Spyder, Sublime Text,MATLAB ,Jupyter Notebook", None,unknown,Man,unknown,joven
22187,India,Data Analyst,"7,500-9,999","Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio , Notepad++"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ,Shiny , Other","Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models",Woman,"Local development environments (RStudio, JupyterLab, etc.)",mediana
22199,India,Data Analyst,"15,000-19,999"," SQL, Other","Jupyter (JupyterLab, Jupyter Notebooks, etc) , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,unknown,joven
22215,Kenya,Data Analyst,unknown,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio , Spyder,Jupyter Notebook",unknown,unknown,Man,unknown,joven
22235,United States of America,Data Analyst,"20,000-24,999"," R, SQL",RStudio ,Ggplot / ggplot2 ,Other,Woman,"Local development environments (RStudio, JupyterLab, etc.)",mediana
22247,India,Data Analyst,"1,000-1,999","Python, SQL, Other","Visual Studio , Spyder,Jupyter Notebook", Other,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Woman,unknown,joven
22262,Canada,Data Analyst,"70,000-79,999","Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Jupyter Notebook", Matplotlib ,None of these activities are an important part of my role at work,Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
22266,United States of America,Data Analyst,"100,000-124,999"," SQL, Other","Visual Studio , Notepad++, Other", None,Analyze and understand data to influence product or business decisions,Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",mediana
22288,Egypt,Data Analyst,unknown,"Python, C++","Visual Studio ,Visual Studio Code (VSCode) ,PyCharm ,Jupyter Notebook", None,unknown,Man,unknown,joven
22309,Belarus,Data Analyst,"25,000-29,999","Python, R","RStudio ,Visual Studio Code (VSCode) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas",Woman,"Local development environments (RStudio, JupyterLab, etc.)",joven
22316,Egypt,Data Analyst,0-999,"Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,MATLAB "," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Do research that advances the state of the art of machine learning",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
22319,Japan,Data Analyst,unknown,"Python, SQL, Javascript","Visual Studio Code (VSCode) ,Jupyter Notebook",unknown,unknown,Man,unknown,joven
22326,Australia,Data Analyst,"100,000-124,999","Python, SQL, Other",Jupyter Notebook," Matplotlib ,Bokeh ",Analyze and understand data to influence product or business decisions,Man,"Advanced statistical software (SPSS, SAS, etc.)",mediana
22328,Taiwan,Data Analyst,"25,000-29,999","Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) , Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",joven
22360,Japan,Data Analyst,"40,000-49,999",Python,Jupyter Notebook," Matplotlib ,Seaborn ",None of these activities are an important part of my role at work,Man,"Local development environments (RStudio, JupyterLab, etc.)",mayor
22379,India,Data Analyst,"1,000-1,999","Python, SQL, C++","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio ,Visual Studio Code (VSCode) ,PyCharm , Spyder, Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
22382,Turkey,Data Analyst,0-999,"Python, SQL","Visual Studio Code (VSCode) ,PyCharm , Notepad++,Jupyter Notebook"," Matplotlib ,Ggplot / ggplot2 ,Geoplotlib ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
22384,Italy,Data Analyst,"20,000-24,999","Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ",Other,Man,"Advanced statistical software (SPSS, SAS, etc.)",mediana
22407,India,Data Analyst,"2,000-2,999",Python,Visual Studio , None,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Man,unknown,joven
22414,Brazil,Data Analyst,"5,000-7,499","Python, R, SQL, Bash","RStudio ,Visual Studio Code (VSCode) ,Jupyter Notebook","Seaborn ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Local development environments (RStudio, JupyterLab, etc.)",joven
22429,Egypt,Data Analyst,0-999,Python,Jupyter Notebook," Matplotlib ,Seaborn ",None of these activities are an important part of my role at work,Man,unknown,mediana
22432,India,Data Analyst,"60,000-69,999","Python, SQL, Javascript, Other",Jupyter Notebook," Matplotlib ,Seaborn ,Ggplot / ggplot2 ",None of these activities are an important part of my role at work,Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
22448,India,Data Analyst,unknown,unknown,unknown,unknown,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Man,unknown,joven
22463,Brazil,Data Analyst,"10,000-14,999","Python, SQL, Bash",Visual Studio Code (VSCode) , Matplotlib ,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Woman,unknown,joven
22483,Turkey,Data Analyst,0-999,"Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ,Shiny ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Man,"Local development environments (RStudio, JupyterLab, etc.)",joven
22496,Russia,Data Analyst,"10,000-14,999","Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",mediana
22498,Portugal,Data Analyst,0-999,"Python, R, SQL, C, C++, MATLAB",PyCharm , Matplotlib ,Do research that advances the state of the art of machine learning,Man,"Advanced statistical software (SPSS, SAS, etc.)",joven
22511,Portugal,Data Analyst,"25,000-29,999","Python, SQL"," Spyder, Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,D3 js ,Bokeh ,Geoplotlib ,Leaflet / Folium ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Experimentation and iteration to improve existing ML models",Woman,"Advanced statistical software (SPSS, SAS, etc.)",mediana
22529,Colombia,Data Analyst,"1,000-1,999","Python, R, SQL, Bash","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,PyCharm , Spyder, Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models",Man,"Local development environments (RStudio, JupyterLab, etc.)",joven
22539,United States of America,Data Analyst,"100,000-124,999", SQL,"PyCharm ,Jupyter Notebook", Matplotlib ,Analyze and understand data to influence product or business decisions,Woman,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",mediana
22545,France,Data Analyst,unknown,"Python, R, SQL, Java"," Notepad++,Jupyter Notebook",unknown,unknown,Man,unknown,mediana
22593,India,Data Analyst,0-999,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) "," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
22595,Russia,Data Analyst,0-999,"Python, SQL, Java","PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
22622,China,Data Analyst,"40,000-49,999", R,RStudio , None,Do research that advances the state of the art of machine learning,Man,"Local development environments (RStudio, JupyterLab, etc.)",mediana
22632,South Korea,Data Analyst,0-999,"Python, R, SQL, C","RStudio ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ,Shiny ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Local development environments (RStudio, JupyterLab, etc.)",joven
22637,Japan,Data Analyst,"3,000-3,999","Python, SQL",Jupyter Notebook, Matplotlib ,Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",joven
