,country,current_role,yearly_compensation,programming_languages,ides,visualization,activities,gender,primary_tool,ages
23801,India,Data Analyst,"10,000-14,999","Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Bokeh ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",younger
23804,India,Data Analyst,"3,000-3,999","Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
23811,United Kingdom of Great Britain and Northern Ireland,Data Analyst,"70,000-79,999","Python, R","RStudio ,PyCharm , Other"," Matplotlib ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
23842,Tunisia,Data Analyst,unknown,"Python, SQL, C, Java, Javascript","Visual Studio Code (VSCode) , Spyder"," Matplotlib ,Seaborn ",unknown,Man,unknown,younger
23848,Other,Data Analyst,0-999,"Python, SQL, Bash","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) , Sublime Text"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
23854,Germany,Data Analyst,"100,000-124,999","Python, SQL, C, C++, Java, Javascript, Swift, Bash","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,PyCharm , Spyder,Jupyter Notebook, Other"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,D3 js ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Man,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",middle
23856,Ukraine,Data Analyst,"1,000-1,999","Python, SQL","PyCharm ,Jupyter Notebook", None,Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
23860,India,Data Analyst,0-999,"Python, SQL, C, Java","Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ,Geoplotlib ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
23879,India,Data Analyst,"20,000-24,999"," SQL, Java","Visual Studio Code (VSCode) ,Jupyter Notebook", Matplotlib ,Analyze and understand data to influence product or business decisions,Man,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",middle
23887,Brazil,Data Analyst,"4,000-4,999","Python, R","RStudio ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions,Man,"Advanced statistical software (SPSS, SAS, etc.)",younger
23894,Other,Data Analyst,"60,000-69,999", SQL,Jupyter Notebook," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows, Do research that advances the state of the art of machine learning",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",middle
23899,Brazil,Data Analyst,"3,000-3,999","Python, SQL, C, C++, Java, Javascript, Swift, MATLAB","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio ,Visual Studio Code (VSCode) , Notepad++, Sublime Text,MATLAB , Other"," Matplotlib ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Altair ,Geoplotlib ","Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
23900,Uganda,Data Analyst,0-999," C, C++",Visual Studio Code (VSCode) ," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ,D3 js ,Altair ,Bokeh ,Geoplotlib ,Leaflet / Folium ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
23906,Bangladesh,Data Analyst,"5,000-7,499",Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) , Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
23921,Russia,Data Analyst,0-999,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,PyCharm , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",younger
23926,Other,Data Analyst,0-999, R,RStudio ,"Plotly / Plotly Express ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas",Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
23959,Russia,Data Analyst,"7,500-9,999","Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Woman,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",middle
23968,Kazakhstan,Data Analyst,unknown,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) , Notepad++",Seaborn ,unknown,Man,unknown,middle
24008,Brazil,Data Analyst,"1,000-1,999","Python, SQL, Bash, MATLAB","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Do research that advances the state of the art of machine learning",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
24010,India,Data Analyst,"10,000-14,999","Python, R, SQL, Julia, Bash","RStudio , Sublime Text,Jupyter Notebook"," Matplotlib ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ,D3 js ,Geoplotlib ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Woman,"Local development environments (RStudio, JupyterLab, etc.)",younger
24011,Egypt,Data Analyst,"5,000-7,499",Python,Jupyter Notebook," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
24013,Israel,Data Analyst,unknown,Python,PyCharm , Matplotlib ,unknown,Man,unknown,middle
24014,Other,Data Analyst,"60,000-69,999","Python, R, SQL, Java, MATLAB","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Visual Studio ,Visual Studio Code (VSCode) , Spyder, Sublime Text,MATLAB ,Jupyter Notebook","Seaborn ,Plotly / Plotly Express ,Shiny ,Bokeh ,Geoplotlib ,Leaflet / Folium ","Analyze and understand data to influence product or business decisions, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
24047,Islamic Republic of Iran,Data Analyst,unknown,"Python, SQL, C, MATLAB",Visual Studio Code (VSCode) , Matplotlib ,unknown,Man,unknown,middle
24053,United Kingdom of Great Britain and Northern Ireland,Data Analyst,"70,000-79,999"," R, Other","RStudio ,Visual Studio ","Plotly / Plotly Express ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models",Woman,"Advanced statistical software (SPSS, SAS, etc.)",middle
24056,India,Data Analyst,"2,000-2,999","Python, SQL, Java, Javascript, MATLAB","PyCharm , Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",younger
24062,Other,Data Analyst,0-999, C++, Vim / Emacs, Matplotlib ,Experimentation and iteration to improve existing ML models,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
24072,Kenya,Data Analyst,0-999, R,RStudio ,"Ggplot / ggplot2 ,Shiny ",Analyze and understand data to influence product or business decisions,Woman,"Local development environments (RStudio, JupyterLab, etc.)",younger
24079,India,Data Analyst,unknown,Python, Other, Matplotlib ,unknown,Man,unknown,younger
24091,Russia,Data Analyst,"20,000-24,999","Python, SQL, Bash","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,PyCharm "," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Bokeh ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models",Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
24108,United States of America,Data Analyst,"70,000-79,999","Python, R, SQL","RStudio ,PyCharm , Notepad++"," Matplotlib ,Ggplot / ggplot2 ,D3 js ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models",Woman,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",middle
24136,India,Data Analyst,"1,000-1,999","Python, R, SQL"," Spyder,Jupyter Notebook", None,Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
24151,United States of America,Data Analyst,unknown,"Python, SQL, Javascript","PyCharm , Notepad++,Jupyter Notebook", Matplotlib ,unknown,Man,unknown,middle
24155,Nigeria,Data Analyst,"7,500-9,999", None,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Visual Studio ",Plotly / Plotly Express ,Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
24172,Russia,Data Analyst,0-999,"Python, SQL, MATLAB","PyCharm ,Jupyter Notebook"," Matplotlib ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions,Man,unknown,younger
24181,Indonesia,Data Analyst,"25,000-29,999",unknown,unknown,unknown,Build prototypes to explore applying machine learning to new areas,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
24183,Mexico,Data Analyst,"15,000-19,999"," R, SQL", None, None,Analyze and understand data to influence product or business decisions,Man,unknown,middle
24184,India,Data Analyst,"10,000-14,999","Python, R, SQL"," Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
24206,Colombia,Data Analyst,"1,000-1,999", R,RStudio ," Matplotlib ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ,Geoplotlib ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas",Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
24209,India,Data Analyst,unknown,Python,Jupyter Notebook," Matplotlib ,Seaborn ",unknown,Man,unknown,younger
24233,United States of America,Data Analyst,unknown, None,"RStudio ,Jupyter Notebook", None,unknown,Woman,unknown,younger
24238,Kenya,Data Analyst,"50,000-59,999","Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Leaflet / Folium ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
24242,Argentina,Data Analyst,0-999,"Python, R, SQL",RStudio , None,Analyze and understand data to influence product or business decisions,Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",middle
24258,China,Data Analyst,unknown,Python,"PyCharm , Sublime Text,Jupyter Notebook", Matplotlib ,unknown,Man,unknown,younger
24262,Turkey,Data Analyst,"2,000-2,999","Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Do research that advances the state of the art of machine learning",Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
24276,United States of America,Data Analyst,"100,000-124,999","Python, C++",Jupyter Notebook," Matplotlib ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",middle
24285,Thailand,Data Analyst,"10,000-14,999","Python, SQL, Other","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
24303,Poland,Data Analyst,"40,000-49,999","Python, R","RStudio ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Experimentation and iteration to improve existing ML models",Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
24306,India,Data Analyst,"50,000-59,999","Python, SQL, C, C++","PyCharm , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
24330,Nigeria,Data Analyst,"20,000-24,999",Python,"PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
24332,Brazil,Data Analyst,"3,000-3,999","Python, SQL","Jupyter Notebook, Other"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas",Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
24339,Belarus,Data Analyst,0-999,"Python, SQL, Other","PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
24340,Brazil,Data Analyst,"10,000-14,999"," SQL, Other"," Notepad++,Jupyter Notebook", Matplotlib ,Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
24357,India,Data Analyst,unknown,"Python, SQL, MATLAB","PyCharm , Sublime Text,MATLAB ,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Experimentation and iteration to improve existing ML models",Man,unknown,younger
24399,India,Data Analyst,0-999,unknown,unknown,unknown,None of these activities are an important part of my role at work,Woman,"Local development environments (RStudio, JupyterLab, etc.)",younger
24403,Australia,Data Analyst,"100,000-124,999","Python, SQL","Visual Studio ,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",middle
24420,United States of America,Data Analyst,"50,000-59,999", Other,"Visual Studio ,Jupyter Notebook, Other", Other,None of these activities are an important part of my role at work,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",older
24455,India,Data Analyst,unknown,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ", None,unknown,Woman,unknown,middle
24457,Ukraine,Data Analyst,"10,000-14,999", SQL, Other, None,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
24495,Nigeria,Data Analyst,unknown, Java,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Jupyter Notebook", Matplotlib ,unknown,Man,unknown,younger
24497,Poland,Data Analyst,"1,000-1,999", Other, None, None,Build prototypes to explore applying machine learning to new areas,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
24498,India,Data Analyst,"1,000-1,999",Python,Jupyter Notebook," Matplotlib ,Seaborn ",None of these activities are an important part of my role at work,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
24514,China,Data Analyst,"4,000-4,999","Python, Java",PyCharm , Matplotlib ,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,unknown,younger
24524,Russia,Data Analyst,"2,000-2,999","Python, SQL","PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
24529,Indonesia,Data Analyst,unknown,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Jupyter Notebook",unknown,unknown,Man,unknown,middle
24552,Portugal,Data Analyst,"40,000-49,999","Python, SQL, Java, MATLAB","Jupyter (JupyterLab, Jupyter Notebooks, etc) , Spyder,MATLAB "," Matplotlib ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
24566,India,Data Analyst,"4,000-4,999","Python, SQL, Java",Jupyter Notebook, Matplotlib ,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,Other,younger
24570,South Africa,Data Analyst,"80,000-89,999"," SQL, Other", None, None,Analyze and understand data to influence product or business decisions,Man,"Advanced statistical software (SPSS, SAS, etc.)",middle
24585,India,Data Analyst,0-999,Python,Jupyter Notebook," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Do research that advances the state of the art of machine learning",Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
24587,Taiwan,Data Analyst,"40,000-49,999"," R, SQL, Other","RStudio ,Visual Studio Code (VSCode) ,Jupyter Notebook",Ggplot / ggplot2 ,Other,Man,unknown,middle
24589,South Korea,Data Analyst,"90,000-99,999","Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) "," Matplotlib ,Seaborn ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
24598,India,Data Analyst,0-999," C, C++", Spyder,Leaflet / Folium ,None of these activities are an important part of my role at work,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
24605,Other,Data Analyst,"30,000-39,999"," SQL, Other", None, None,Analyze and understand data to influence product or business decisions,Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
24624,Singapore,Data Analyst,"100,000-124,999","Python, SQL, C++, Javascript, MATLAB","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Visual Studio ,MATLAB ,Jupyter Notebook"," Matplotlib ,Seaborn , Other","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
24628,India,Data Analyst,0-999,"Python, C++",Jupyter Notebook," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Woman,"Local development environments (RStudio, JupyterLab, etc.)",younger
24638,India,Data Analyst,"3,000-3,999",Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ","Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
24648,India,Data Analyst,"10,000-14,999"," SQL, Other", Notepad++, None,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
24654,Singapore,Data Analyst,"100,000-124,999","Python, SQL, Other"," Spyder,Jupyter Notebook"," Matplotlib ,Seaborn , Other","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
24659,Ukraine,Data Analyst,0-999,Python,Visual Studio Code (VSCode) , Other,Other,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
24663,Australia,Data Analyst,"80,000-89,999", Other, None, None,Analyze and understand data to influence product or business decisions,Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
24671,India,Data Analyst,"7,500-9,999","Python, SQL","Visual Studio ,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Experimentation and iteration to improve existing ML models, Other",Man,"Advanced statistical software (SPSS, SAS, etc.)",younger
24689,Kenya,Data Analyst,0-999,"Python, SQL", Sublime Text, None,Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
24691,United States of America,Data Analyst,0-999,"Python, R, SQL","RStudio ,Visual Studio Code (VSCode) , Notepad++","Ggplot / ggplot2 ,Shiny , Other","Analyze and understand data to influence product or business decisions, Other",Prefer not to say,"Local development environments (RStudio, JupyterLab, etc.)",older
24694,India,Data Analyst,0-999,"Python, R","RStudio , Notepad++",Ggplot / ggplot2 ,"Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Woman,"Advanced statistical software (SPSS, SAS, etc.)",middle
24707,India,Data Analyst,0-999,"Python, R","RStudio , Notepad++","Ggplot / ggplot2 ,Geoplotlib ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
24721,Egypt,Data Analyst,0-999,"Python, C++"," Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
24724,Turkey,Data Analyst,"70,000-79,999","Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,PyCharm , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
24726,Canada,Data Analyst,0-999,"Python, R, SQL","RStudio ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
24733,France,Data Analyst,"40,000-49,999"," R, Bash, MATLAB","RStudio , Notepad++,Jupyter Notebook","Ggplot / ggplot2 ,Shiny ","Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Woman,"Local development environments (RStudio, JupyterLab, etc.)",middle
24735,Other,Data Analyst,"1,000-1,999","Python, SQL, C++, Javascript, Swift, Bash, MATLAB","Visual Studio ,MATLAB ,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models",Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
24740,Russia,Data Analyst,"10,000-14,999","Python, SQL","PyCharm , Sublime Text"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
24748,Other,Data Analyst,0-999,unknown,unknown,unknown,Other,Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
24758,India,Data Analyst,"20,000-24,999", SQL," Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
24769,India,Data Analyst,0-999,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Seaborn ","Build prototypes to explore applying machine learning to new areas, Other",Man,unknown,younger
24789,Russia,Data Analyst,"7,500-9,999","Python, C, C++",Jupyter Notebook, Matplotlib ,"Analyze and understand data to influence product or business decisions, Do research that advances the state of the art of machine learning",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",older
24823,Nigeria,Data Analyst,"7,500-9,999","Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio ,Visual Studio Code (VSCode) ,PyCharm , Spyder, Notepad++, Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
24838,United States of America,Data Analyst,unknown,"Python, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Jupyter Notebook",unknown,unknown,Woman,unknown,middle
24840,Mexico,Data Analyst,"5,000-7,499","Python, C, C++, Javascript","Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
24873,Egypt,Data Analyst,"5,000-7,499","Python, Java","PyCharm , Spyder"," Matplotlib ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
